Time;"FaceDetection/FaceDetected"
0;"[[[215, [126, 61], [170, 61], [126, 105], [170, 105], -3.14159, 1], [[[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0]], [0, 0, 0], [[0, 0], [0, 0]], [0, 0]], [[220, [241, 94], [269, 90], [245, 122], [273, 118], 0, 0.6], [[[250, 105], 0.998], [[263, 103], 1], [[258, 120], 0.015], [[253, 105], 0.998], [[247, 105], 0.998], [[260, 104], 1], [[266, 103], 1], [[253, 120], 0.015], [[265, 119], 0.015], [[254, 114], 1], [[260, 113], 1], [[258, 117], 0.015]], [0.0872665, -0.261799, -0.244346], [[23, 0.5], [1, 1]], [0.01, 0.004]]]"
0.147458;"[[[215, [126, 61], [170, 61], [126, 105], [170, 105], -3.14159, 1], [[[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0]], [0, 0, 0], [[0, 0], [0, 0]], [0, 0]], [[220, [241, 94], [269, 90], [245, 122], [273, 118], 0, 0.662], [[[250, 105], 0.998], [[263, 103], 1], [[258, 120], 0.015], [[253, 105], 0.998], [[247, 105], 0.998], [[260, 104], 1], [[266, 103], 1], [[253, 120], 0.015], [[265, 119], 0.015], [[254, 114], 1], [[260, 113], 1], [[258, 117], 0.015]], [0.0872665, -0.261799, -0.244346], [[23, 0.5], [1, 1]], [0.01, 0.004]]]"
0.252403;"[[[215, [126, 61], [170, 61], [126, 105], [170, 105], -3.14159, 1], [[[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0]], [0, 0, 0], [[0, 0], [0, 0]], [0, 0]], [[220, [241, 94], [269, 90], [245, 122], [273, 118], 0, 0.684], [[[250, 105], 0.989], [[263, 103], 1], [[258, 120], 0.156], [[253, 105], 0.989], [[247, 106], 0.989], [[260, 104], 1], [[266, 103], 1], [[253, 120], 0.156], [[265, 119], 0.156], [[254, 114], 1], [[260, 113], 1], [[258, 117], 0.156]], [0.0872665, -0.244346, -0.244346], [[25, 0.5], [1, 1]], [0.01, 0.004]]]"
0.300735;"[[[215, [126, 61], [170, 61], [126, 105], [170, 105], -3.14159, 1], [[[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0]], [0, 0, 0], [[0, 0], [0, 0]], [0, 0]], [[220, [239, 90], [275, 90], [239, 126], [275, 126], 0, 0.73], [[[249, 105], 0.513], [[263, 103], 1], [[258, 120], 1], [[252, 105], 0.513], [[247, 106], 0.513], [[260, 104], 1], [[266, 103], 1], [[254, 120], 1], [[264, 119], 1], [[254, 114], 1], [[260, 113], 1], [[258, 118], 1]], [0.0349066, -0.191986, -0.174533], [[24, 0.5], [1, 1]], [0.01, 0.005]]]"
0.40105;"[[[215, [126, 61], [170, 61], [126, 105], [170, 105], -3.14159, 1], [[[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0]], [0, 0, 0], [[0, 0], [0, 0]], [0, 0]], [[220, [240, 91], [274, 91], [240, 125], [274, 125], 0, 0.723], [[[250, 105], 0.607], [[263, 103], 0.999], [[258, 120], 1], [[253, 106], 0.607], [[247, 106], 0.607], [[261, 105], 0.999], [[266, 103], 0.999], [[254, 120], 1], [[264, 119], 1], [[255, 114], 0.999], [[260, 113], 0.999], [[258, 118], 1]], [0.0698132, -0.20944, -0.174533], [[22, 1], [1, 1]], [0.01, 0.017]]]"
0.508668;"[[[215, [126, 61], [170, 61], [126, 105], [170, 105], -3.14159, 1], [[[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0]], [0, 0, 0], [[0, 0], [0, 0]], [0, 0]], [[220, [240, 91], [274, 91], [240, 125], [274, 125], 0, 0.662], [[[250, 106], 0.27], [[263, 103], 0.998], [[258, 120], 1], [[253, 106], 0.27], [[247, 106], 0.27], [[261, 105], 0.998], [[266, 103], 0.998], [[254, 120], 1], [[264, 119], 1], [[255, 114], 1], [[260, 113], 1], [[258, 118], 1]], [0.0698132, -0.244346, -0.174533], [[25, 0.666], [1, 1]], [0.01, 0.015]]]"
0.602511;"[[[215, [126, 61], [170, 61], [126, 105], [170, 105], -3.14159, 1], [[[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0]], [0, 0, 0], [[0, 0], [0, 0]], [0, 0]], [[220, [240, 91], [274, 91], [240, 125], [274, 125], 0, 0.737], [[[250, 105], 0.478], [[264, 103], 1], [[258, 120], 1], [[252, 106], 0.478], [[247, 106], 0.478], [[261, 104], 1], [[267, 103], 1], [[254, 120], 1], [[264, 119], 1], [[255, 114], 1], [[260, 113], 1], [[258, 118], 1]], [0.0349066, -0.15708, -0.15708], [[24, 0.666], [1, 1]], [0.01, 0.017]]]"
0.752768;"[[[215, [126, 61], [170, 61], [126, 105], [170, 105], -3.14159, 1], [[[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0]], [0, 0, 0], [[0, 0], [0, 0]], [0, 0]], [[220, [240, 91], [274, 91], [240, 125], [274, 125], 0, 0.745], [[[250, 105], 0.031], [[264, 103], 1], [[258, 120], 1], [[252, 106], 0.031], [[247, 106], 0.031], [[261, 105], 1], [[266, 103], 1], [[254, 120], 1], [[264, 119], 1], [[255, 114], 1], [[260, 113], 1], [[258, 118], 1]], [0.0523599, -0.139626, -0.15708], [[23, 1], [1, 1]], [0.01, 0.014]]]"
0.834866;"[[[215, [126, 61], [170, 61], [126, 105], [170, 105], -3.14159, 1], [[[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0]], [0, 0, 0], [[0, 0], [0, 0]], [0, 0]], [[220, [241, 92], [273, 92], [241, 124], [273, 124], 0, 0.634], [[[250, 105], 0.548], [[263, 103], 1], [[258, 120], 1], [[253, 105], 0.548], [[247, 106], 0.548], [[261, 104], 1], [[266, 103], 1], [[254, 120], 1], [[265, 119], 1], [[254, 114], 1], [[260, 113], 1], [[258, 117], 1]], [0.0174533, -0.244346, -0.174533], [[25, 0.5], [1, 0.953]], [0.01, 0.016]]]"
0.917335;"[[[215, [126, 61], [170, 61], [126, 105], [170, 105], -3.14159, 1], [[[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0], [[0, 0], 0]], [0, 0, 0], [[0, 0], [0, 0]], [0, 0]], [[220, [240, 91], [274, 91], [240, 125], [274, 125], 0, 0.641], [[[250, 105], 0.218], [[263, 103], 0.999], [[258, 120], 1], [[253, 106], 0.218], [[247, 106], 0.218], [[261, 105], 0.999], [[266, 103], 0.999], [[254, 120], 1], [[264, 119], 1], [[255, 114], 1], [[260, 113], 1], [[258, 118], 1]], [0.0698132, -0.261799, -0.174533], [[24, 0.666], [1, 1]], [0.01, 0.014]]]"
